Roll No,Course Code,Slot,Inst name
78970130,TP624,J23,Dr. Rajkumar Eslavath
78970140,CS552,E,Dr. Rishi Ranjan Singh
78970140,CS559,A,Dr. Gaganraj Gupta
78970140,DS510,"P12, O",Dr. Soumajit Pramanik
78970140,EE572,D,Dr. Avishek Adhikary
78970140,LA327,K2,Dr. Sruthi Vinayan
78970140,LA365,K3,Dr. Anindita Ghosh
78970140,TP624,J23,Dr. Rajkumar Eslavath
78970150,CS554,M,Dr. Souradyuti Paul
78970150,ME557,E,Dr. Kaushik Bandhopadhyay
78970150,PH506,D,Dr. Sabyasachi Ghosh
78970150,TP624,J23,Dr. Rajkumar Eslavath
78970160,ME557,E,Dr. Kaushik Bandhopadhyay
78970160,ME560,B,Dr. Rahul Jain
78970160,ME653,I,Dr. Vijay Shantaram Duryodhan
78970170,CS554,M,Dr. Souradyuti Paul
78970170,LA327,K2,Dr. Sruthi Vinayan
78970170,ME560,B,Dr. Rahul Jain
78970180,CS499,NA,DUGC_CSE
78970180,CS550,B,Dr. Rajesh Kumar Mundotiya
78970180,CS559,A,Dr. Gaganraj Gupta
78970180,CS607,D,Dr. Sk Subidh Ali
78970180,DS510,"P12, O",Dr. Soumajit Pramanik
78970180,LA303,K1,Ms. Hao Yu Lu
78970190,CS554,M,Dr. Souradyuti Paul
78970190,CS559,A,Dr. Gaganraj Gupta
78970190,EE572,D,Dr. Avishek Adhikary
78970190,TP624,J23,Dr. Rajkumar Eslavath
78970200,CS502,A,Dr. I. Vinod Kumar Reddy
78970200,CS550,B,Dr. Rajesh Kumar Mundotiya
78970200,EE572,D,Dr. Avishek Adhikary
78970200,TP624,J23,Dr. Rajkumar Eslavath
78970210,CS516,C,Dr. Vishwesh Jatala
78970210,CS559,A,Dr. Gaganraj Gupta
78970210,EE572,D,Dr. Avishek Adhikary
78970210,LA327,K2,Dr. Sruthi Vinayan
78970210,LA365,K3,Dr. Anindita Ghosh
78970210,TP624,J23,Dr. Rajkumar Eslavath
78970220,CS559,A,Dr. Gaganraj Gupta
78970220,EE572,D,Dr. Avishek Adhikary
78970220,LA305,K12,Dr. Anubhav Pradhan
78970220,TP605,E,Dr. Suchetan Pal
78970220,TP624,J23,Dr. Rajkumar Eslavath
78970230,CS254,A23,Dr. Souradyuti Paul
78970230,CS550,B,Dr. Rajesh Kumar Mundotiya
78970230,EE572,D,Dr. Avishek Adhikary
78970230,EE575,F,Dr.Shashank Kurm/Dr. Sachin Jain
78970230,TP624,J23,Dr. Rajkumar Eslavath
78970240,CS250,C12,Dr. Dhiman Saha
78970240,CS502,A,Dr. I. Vinod Kumar Reddy
78970240,EE572,D,Dr. Avishek Adhikary
78970240,LA327,K2,Dr. Sruthi Vinayan
78970240,TP624,J23,Dr. Rajkumar Eslavath
78970250,EE572,D,Dr. Avishek Adhikary
78970250,LA327,K2,Dr. Sruthi Vinayan
78970250,ME499,NA,DUGC_ME
78970250,ME557,E,Dr. Kaushik Bandhopadhyay
78970250,ME560,B,Dr. Rahul Jain
78970250,TP624,J23,Dr. Rajkumar Eslavath
78970260,CS516,C,Dr. Vishwesh Jatala
78970260,EE572,D,Dr. Avishek Adhikary
78970260,LA365,K3,Dr. Anindita Ghosh
78970260,MT251,B,Prof. Santosh Biswas
78970260,TP624,J23,Dr. Rajkumar Eslavath
78970270,CS254,A23,Dr. Souradyuti Paul
78970270,CS550,B,Dr. Rajesh Kumar Mundotiya
78970270,EE352,V23,Dr. Sreejith T. V
78970270,EE572,D,Dr. Avishek Adhikary
78970270,LA365,K3,Dr. Anindita Ghosh
78970270,TP605,E,Dr. Suchetan Pal
78970270,TP624,J23,Dr. Rajkumar Eslavath
78970290,CS254,A23,Dr. Souradyuti Paul
78970290,EE572,D,Dr. Avishek Adhikary
78970290,LA315,K1,Ms. Hao Yu Lu
78970290,LA354,K3,Dr. Sonal Jha
78970290,TP605,E,Dr. Suchetan Pal
78970290,TP624,J23,Dr. Rajkumar Eslavath
78970300,CS502,A,Dr. I. Vinod Kumar Reddy
78970300,CS516,C,Dr. Vishwesh Jatala
78970300,EE572,D,Dr. Avishek Adhikary
78970300,LA365,K3,Dr. Anindita Ghosh
78970300,TP605,E,Dr. Suchetan Pal
78970300,TP624,J23,Dr. Rajkumar Eslavath
78970310,CS254,A23,Dr. Souradyuti Paul
78970310,CS550,B,Dr. Rajesh Kumar Mundotiya
78970310,EE572,D,Dr. Avishek Adhikary
78970310,LA365,K3,Dr. Anindita Ghosh
78970310,TP624,J23,Dr. Rajkumar Eslavath
78970320,CS552,E,Dr. Rishi Ranjan Singh
78970320,CS621,B,Dr. Dhiman Saha
78970320,EE572,D,Dr. Avishek Adhikary
78970320,LA303,K1,Ms. Hao Yu Lu
78970320,TP624,J23,Dr. Rajkumar Eslavath
78970330,CS254,A23,Dr. Souradyuti Paul
78970330,CS550,B,Dr. Rajesh Kumar Mundotiya
78970330,EE572,D,Dr. Avishek Adhikary
78970330,EE575,F,Dr.Shashank Kurm/Dr. Sachin Jain
78970330,TP624,J23,Dr. Rajkumar Eslavath
78970340,CS502,A,Dr. I. Vinod Kumar Reddy
78970340,CS554,M,Dr. Souradyuti Paul
78970340,DS510,"P12, O",Dr. Soumajit Pramanik
78970340,EE572,D,Dr. Avishek Adhikary
78970340,LA327,K2,Dr. Sruthi Vinayan
78970340,TP624,J23,Dr. Rajkumar Eslavath
78970360,CS254,A23,Dr. Souradyuti Paul
78970360,CS516,C,Dr. Vishwesh Jatala
78970360,EE572,D,Dr. Avishek Adhikary
78970360,LA303,K1,Ms. Hao Yu Lu
78970360,LA327,K2,Dr. Sruthi Vinayan
78970360,TP624,J23,Dr. Rajkumar Eslavath
78970370,ME560,B,Dr. Rahul Jain
78970370,ME652,A,Dr. Soumya Gangopadhyay
78970370,ME653,I,Dr. Vijay Shantaram Duryodhan
78970370,PH506,D,Dr. Sabyasachi Ghosh
78970370,TP624,J23,Dr. Rajkumar Eslavath
78970380,LA365,K3,Dr. Anindita Ghosh
78970380,ME413,C,Dr. Udayraj
78970380,ME557,E,Dr. Kaushik Bandhopadhyay
78970380,ME560,B,Dr. Rahul Jain
78970380,ME653,I,Dr. Vijay Shantaram Duryodhan
78970380,PH506,D,Dr. Sabyasachi Ghosh
78970380,TP624,J23,Dr. Rajkumar Eslavath
78970390,CS250,C12,Dr. Dhiman Saha
78970390,CS254,A23,Dr. Souradyuti Paul
78970390,DS201,D23,Dr. Anil Kumar Sao
78970390,LA327,K2,Dr. Sruthi Vinayan
78970390,ME557,E,Dr. Kaushik Bandhopadhyay
78970390,ME560,B,Dr. Rahul Jain
78970390,ME653,I,Dr. Vijay Shantaram Duryodhan
78970390,TP624,J23,Dr. Rajkumar Eslavath
78970400,CS516,C,Dr. Vishwesh Jatala
78970400,EE572,D,Dr. Avishek Adhikary
78970400,MT251,B,Prof. Santosh Biswas
78970400,TP605,E,Dr. Suchetan Pal
78970400,TP624,J23,Dr. Rajkumar Eslavath
78970410,EE572,D,Dr. Avishek Adhikary
78970410,EE604,G,Dr. Sreejith T. V
78970410,LA327,K2,Dr. Sruthi Vinayan
78970410,LA354,K3,Dr. Sonal Jha
78970410,TP605,E,Dr. Suchetan Pal
78970410,TP624,J23,Dr. Rajkumar Eslavath
78970420,CS254,A23,Dr. Souradyuti Paul
78970420,CS554,M,Dr. Souradyuti Paul
78970420,ME560,B,Dr. Rahul Jain
78970420,TP605,E,Dr. Suchetan Pal
78970430,CS250,C12,Dr. Dhiman Saha
78970430,CS254,A23,Dr. Souradyuti Paul
78970430,DS510,"P12, O",Dr. Soumajit Pramanik
78970430,EE572,D,Dr. Avishek Adhikary
78970430,TP624,J23,Dr. Rajkumar Eslavath
78970440,CS516,C,Dr. Vishwesh Jatala
78970440,CS559,A,Dr. Gaganraj Gupta
78970440,EE572,D,Dr. Avishek Adhikary
78970440,TP624,J23,Dr. Rajkumar Eslavath
78970450,CS499,NA,DUGC_CSE
78970450,CS516,C,Dr. Vishwesh Jatala
78970450,CS552,E,Dr. Rishi Ranjan Singh
78970450,DS510,"P12, O",Dr. Soumajit Pramanik
78970450,EE572,D,Dr. Avishek Adhikary
78970450,LA303,K1,Ms. Hao Yu Lu
78970450,LA327,K2,Dr. Sruthi Vinayan
78970450,TP624,J23,Dr. Rajkumar Eslavath
78970460,CS502,A,Dr. I. Vinod Kumar Reddy
78970460,CS516,C,Dr. Vishwesh Jatala
78970460,EE572,D,Dr. Avishek Adhikary
78970460,MT251,B,Prof. Santosh Biswas
78970470,EE572,D,Dr. Avishek Adhikary
78970470,ME515,E,Dr. Pravesh Chandra Shukla
78970470,ME560,B,Dr. Rahul Jain
78970470,ME652,A,Dr. Soumya Gangopadhyay
78970470,TP624,J23,Dr. Rajkumar Eslavath
78970480,AA102,NA,Dr. Purnendu Das
78970480,CS554,M,Dr. Souradyuti Paul
78970480,EE572,D,Dr. Avishek Adhikary
78970480,ME560,B,Dr. Rahul Jain
78970480,ME652,A,Dr. Soumya Gangopadhyay
78970480,MT551,G,"Dr. Kaushik Bandhopadhyay, Dr. Purnendu Das"
78970480,TP624,J23,Dr. Rajkumar Eslavath
78970490,EE572,D,Dr. Avishek Adhikary
78970490,ME557,E,Dr. Kaushik Bandhopadhyay
78970490,ME653,I,Dr. Vijay Shantaram Duryodhan
78970490,TP624,J23,Dr. Rajkumar Eslavath
78970500,CS502,A,Dr. I. Vinod Kumar Reddy
78970500,EE572,D,Dr. Avishek Adhikary
78970500,LA303,K1,Ms. Hao Yu Lu
78970500,LA315,K1,Ms. Hao Yu Lu
78970500,TP605,E,Dr. Suchetan Pal
78970510,CS254,A23,Dr. Souradyuti Paul
78970510,EE572,D,Dr. Avishek Adhikary
78970510,EE575,F,Dr.Shashank Kurm/Dr. Sachin Jain
78970510,EE604,G,Dr. Sreejith T. V
78970510,LA365,K3,Dr. Anindita Ghosh
78970520,LA305,K12,Dr. Anubhav Pradhan
78970520,ME615,L,Dr. Nagesh Debidas Patil
78970520,ME637,J,Dr. Ganesh Kolappan Geetha
78970520,ME653,I,Dr. Vijay Shantaram Duryodhan
78970520,MT253,F,Dr. Jose Immanuel R
78970520,PH506,D,Dr. Sabyasachi Ghosh
78970530,CS516,C,Dr. Vishwesh Jatala
78970530,EE572,D,Dr. Avishek Adhikary
78970530,MT251,B,Prof. Santosh Biswas
78970530,TP605,E,Dr. Suchetan Pal
78970530,TP624,J23,Dr. Rajkumar Eslavath
78970540,CS516,C,Dr. Vishwesh Jatala
78970540,EE572,D,Dr. Avishek Adhikary
78970540,TP605,E,Dr. Suchetan Pal
78970540,TP624,J23,Dr. Rajkumar Eslavath
78970550,CS516,C,Dr. Vishwesh Jatala
78970550,EE572,D,Dr. Avishek Adhikary
78970550,LA305,K12,Dr. Anubhav Pradhan
78970550,MT251,B,Prof. Santosh Biswas
78970550,TP624,J23,Dr. Rajkumar Eslavath
78970560,CS516,C,Dr. Vishwesh Jatala
78970560,EE572,D,Dr. Avishek Adhikary
78970560,MT251,B,Prof. Santosh Biswas
78970560,TP624,J23,Dr. Rajkumar Eslavath
78970580,CS254,A23,Dr. Souradyuti Paul
78970580,CS516,C,Dr. Vishwesh Jatala
78970580,EE572,D,Dr. Avishek Adhikary
78970580,LA365,K3,Dr. Anindita Ghosh
78970580,TP605,E,Dr. Suchetan Pal
78970580,TP624,J23,Dr. Rajkumar Eslavath
78970600,CS253,C3,Dr. Barun Gorain
78970600,CS502,A,Dr. I. Vinod Kumar Reddy
78970600,EE572,D,Dr. Avishek Adhikary
78970600,LA354,K3,Dr. Sonal Jha
78970600,MT251,B,Prof. Santosh Biswas
78970600,TP624,J23,Dr. Rajkumar Eslavath
78970610,CS254,A23,Dr. Souradyuti Paul
78970610,CS516,C,Dr. Vishwesh Jatala
78970610,CS554,M,Dr. Souradyuti Paul
78970610,EE572,D,Dr. Avishek Adhikary
78970610,LA315,K1,Ms. Hao Yu Lu
78970610,TP624,J23,Dr. Rajkumar Eslavath
78970620,CS554,M,Dr. Souradyuti Paul
78970620,LA327,K2,Dr. Sruthi Vinayan
78970620,ME557,E,Dr. Kaushik Bandhopadhyay
78970620,TP624,J23,Dr. Rajkumar Eslavath
78970630,CS254,A23,Dr. Souradyuti Paul
78970630,LA303,K1,Ms. Hao Yu Lu
78970630,LA315,K1,Ms. Hao Yu Lu
78970630,LA327,K2,Dr. Sruthi Vinayan
78970630,ME515,E,Dr. Pravesh Chandra Shukla
78970630,ME560,B,Dr. Rahul Jain
78970630,ME653,I,Dr. Vijay Shantaram Duryodhan
78970630,MT253,F,Dr. Jose Immanuel R
78970630,TP624,J23,Dr. Rajkumar Eslavath
78970640,CS516,C,Dr. Vishwesh Jatala
78970640,CS559,A,Dr. Gaganraj Gupta
78970640,EE572,D,Dr. Avishek Adhikary
78970640,LA365,K3,Dr. Anindita Ghosh
78970650,CS502,A,Dr. I. Vinod Kumar Reddy
78970650,CS516,C,Dr. Vishwesh Jatala
78970650,EE572,D,Dr. Avishek Adhikary
78970650,LA365,K3,Dr. Anindita Ghosh
78970650,TP605,E,Dr. Suchetan Pal
78970650,TP624,J23,Dr. Rajkumar Eslavath
78970660,CS254,A23,Dr. Souradyuti Paul
78970660,EE572,D,Dr. Avishek Adhikary
78970660,EE573,H,Dr. Avishek Adhikary
78970660,TP605,E,Dr. Suchetan Pal
78970660,TP624,J23,Dr. Rajkumar Eslavath
78970670,CS502,A,Dr. I. Vinod Kumar Reddy
78970670,CS516,C,Dr. Vishwesh Jatala
78970670,EE572,D,Dr. Avishek Adhikary
78970670,LA365,K3,Dr. Anindita Ghosh
78970670,TP605,E,Dr. Suchetan Pal
78970670,TP624,J23,Dr. Rajkumar Eslavath
78970680,CS254,A23,Dr. Souradyuti Paul
78970680,EE572,D,Dr. Avishek Adhikary
78970680,EE575,F,Dr.Shashank Kurm/Dr. Sachin Jain
78970680,LA365,K3,Dr. Anindita Ghosh
78970680,TP605,E,Dr. Suchetan Pal
78970680,TP624,J23,Dr. Rajkumar Eslavath
78970690,CS254,A23,Dr. Souradyuti Paul
78970690,DS200,E,Dr. Subhajit Sidhanta
78970690,EE572,D,Dr. Avishek Adhikary
78970690,LA365,K3,Dr. Anindita Ghosh
78970690,TP624,J23,Dr. Rajkumar Eslavath
78970700,EE572,D,Dr. Avishek Adhikary
78970700,EE573,H,Dr. Avishek Adhikary
78970700,EE604,G,Dr. Sreejith T. V
78970710,CS516,C,Dr. Vishwesh Jatala
78970710,EE572,D,Dr. Avishek Adhikary
78970710,TP605,E,Dr. Suchetan Pal
78970710,TP624,J23,Dr. Rajkumar Eslavath
78970720,CS516,C,Dr. Vishwesh Jatala
78970720,EE572,D,Dr. Avishek Adhikary
78970720,TP605,E,Dr. Suchetan Pal
78970720,TP624,J23,Dr. Rajkumar Eslavath
78970730,LA365,K3,Dr. Anindita Ghosh
78970730,ME334,B,Dr. Anshul faye
78970730,ME413,C,Dr. Udayraj
78970730,ME557,E,Dr. Kaushik Bandhopadhyay
78970730,ME615,L,Dr. Nagesh Debidas Patil
78970730,ME653,I,Dr. Vijay Shantaram Duryodhan
78970730,TP624,J23,Dr. Rajkumar Eslavath
78970740,CS254,A23,Dr. Souradyuti Paul
78970740,CS516,C,Dr. Vishwesh Jatala
78970740,EE572,D,Dr. Avishek Adhikary
78970740,LA365,K3,Dr. Anindita Ghosh
78970740,TP624,J23,Dr. Rajkumar Eslavath
78970750,CS516,C,Dr. Vishwesh Jatala
78970750,CS554,M,Dr. Souradyuti Paul
78970750,ME560,B,Dr. Rahul Jain
78970750,ME615,L,Dr. Nagesh Debidas Patil
78970750,ME653,I,Dr. Vijay Shantaram Duryodhan
78970750,TP624,J23,Dr. Rajkumar Eslavath
78970760,CS516,C,Dr. Vishwesh Jatala
78970760,EE572,D,Dr. Avishek Adhikary
78970760,EE573,H,Dr. Avishek Adhikary
78970760,EE604,G,Dr. Sreejith T. V
78970760,LA351,J2,Dr. Sruthi Vinayan
78970770,CS516,C,Dr. Vishwesh Jatala
78970770,EE572,D,Dr. Avishek Adhikary
78970770,LA327,K2,Dr. Sruthi Vinayan
78970770,MT251,B,Prof. Santosh Biswas
78970770,TP605,E,Dr. Suchetan Pal
78970780,CS254,A23,Dr. Souradyuti Paul
78970780,CS516,C,Dr. Vishwesh Jatala
78970780,DS510,"P12, O",Dr. Soumajit Pramanik
78970780,EE572,D,Dr. Avishek Adhikary
78970780,TP624,J23,Dr. Rajkumar Eslavath
78970790,CS254,A23,Dr. Souradyuti Paul
78970790,CS554,M,Dr. Souradyuti Paul
78970790,LA365,K3,Dr. Anindita Ghosh
78970790,ME557,E,Dr. Kaushik Bandhopadhyay
78970790,ME560,B,Dr. Rahul Jain
78970790,TP624,J23,Dr. Rajkumar Eslavath
78970800,CS516,C,Dr. Vishwesh Jatala
78970800,CS621,B,Dr. Dhiman Saha
78970800,DS200,E,Dr. Subhajit Sidhanta
78970800,PH506,D,Dr. Sabyasachi Ghosh
78970810,CS300,I,Dr. Amit Kumar Dhar
78970810,CS516,C,Dr. Vishwesh Jatala
78970810,EE572,D,Dr. Avishek Adhikary
78970810,LA365,K3,Dr. Anindita Ghosh
78970810,TP624,J23,Dr. Rajkumar Eslavath
78970820,CS516,C,Dr. Vishwesh Jatala
78970820,CS559,A,Dr. Gaganraj Gupta
78970820,EE572,D,Dr. Avishek Adhikary
78970820,LA327,K2,Dr. Sruthi Vinayan
78970820,TP624,J23,Dr. Rajkumar Eslavath
78970830,CS554,M,Dr. Souradyuti Paul
78970830,ME560,B,Dr. Rahul Jain
78970830,TP624,J23,Dr. Rajkumar Eslavath
78970840,CS516,C,Dr. Vishwesh Jatala
78970840,CS559,A,Dr. Gaganraj Gupta
78970840,EE572,D,Dr. Avishek Adhikary
78970840,MT251,B,Prof. Santosh Biswas
78970840,TP624,J23,Dr. Rajkumar Eslavath
78970850,CS254,A23,Dr. Souradyuti Paul
78970850,CS516,C,Dr. Vishwesh Jatala
78970850,EE575,F,Dr.Shashank Kurm/Dr. Sachin Jain
78970850,PH506,D,Dr. Sabyasachi Ghosh
78970850,TP624,J23,Dr. Rajkumar Eslavath
78970860,CS554,M,Dr. Souradyuti Paul
78970860,ME560,B,Dr. Rahul Jain
78970860,ME653,I,Dr. Vijay Shantaram Duryodhan
78970870,CS250,C12,Dr. Dhiman Saha
78970870,CS254,A23,Dr. Souradyuti Paul
78970870,DS200,E,Dr. Subhajit Sidhanta
78970870,EE572,D,Dr. Avishek Adhikary
78970870,LA365,K3,Dr. Anindita Ghosh
78970870,TP624,J23,Dr. Rajkumar Eslavath
78970880,CS550,B,Dr. Rajesh Kumar Mundotiya
78970880,DS501,"G, U12",Dr. Rajesh Kumar Mundotiya
78970880,EE572,D,Dr. Avishek Adhikary
78970880,LA327,K2,Dr. Sruthi Vinayan
78970880,LA365,K3,Dr. Anindita Ghosh
78970880,TP624,J23,Dr. Rajkumar Eslavath
78970890,CS254,A23,Dr. Souradyuti Paul
78970890,LA303,K1,Ms. Hao Yu Lu
78970890,LA327,K2,Dr. Sruthi Vinayan
78970890,ME560,B,Dr. Rahul Jain
78970890,ME637,J,Dr. Ganesh Kolappan Geetha
78970900,EE572,D,Dr. Avishek Adhikary
78970900,EE573,H,Dr. Avishek Adhikary
78970900,LA365,K3,Dr. Anindita Ghosh
78970900,MT251,B,Prof. Santosh Biswas
78970900,MT253,F,Dr. Jose Immanuel R
78970900,MT551,G,"Dr. Kaushik Bandhopadhyay, Dr. Purnendu Das"
78970910,CS554,M,Dr. Souradyuti Paul
78970910,LA365,K3,Dr. Anindita Ghosh
78970910,ME557,E,Dr. Kaushik Bandhopadhyay
78970910,ME560,B,Dr. Rahul Jain
78970910,TP624,J23,Dr. Rajkumar Eslavath
78970920,CS254,A23,Dr. Souradyuti Paul
78970920,CS516,C,Dr. Vishwesh Jatala
78970920,EE572,D,Dr. Avishek Adhikary
78970920,LA365,K3,Dr. Anindita Ghosh
78970920,TP624,J23,Dr. Rajkumar Eslavath
78970930,CS516,C,Dr. Vishwesh Jatala
78970930,CS559,A,Dr. Gaganraj Gupta
78970930,DS510,"P12, O",Dr. Soumajit Pramanik
78970930,EE572,D,Dr. Avishek Adhikary
78970930,LA365,K3,Dr. Anindita Ghosh
78970930,TP624,J23,Dr. Rajkumar Eslavath
78970940,EE572,D,Dr. Avishek Adhikary
78970940,LA305,K12,Dr. Anubhav Pradhan
78970940,MT251,B,Prof. Santosh Biswas
78970940,TP605,E,Dr. Suchetan Pal
78970940,TP624,J23,Dr. Rajkumar Eslavath
78970950,CS516,C,Dr. Vishwesh Jatala
78970950,EE572,D,Dr. Avishek Adhikary
78970950,LA365,K3,Dr. Anindita Ghosh
78970950,MT251,B,Prof. Santosh Biswas
78970950,TP605,E,Dr. Suchetan Pal
78970950,TP624,J23,Dr. Rajkumar Eslavath
78970960,CS254,A23,Dr. Souradyuti Paul
78970960,DS200,E,Dr. Subhajit Sidhanta
78970960,EE575,F,Dr.Shashank Kurm/Dr. Sachin Jain
78970960,LA365,K3,Dr. Anindita Ghosh
78970960,PH506,D,Dr. Sabyasachi Ghosh
78970960,TP624,J23,Dr. Rajkumar Eslavath
78970970,CS559,A,Dr. Gaganraj Gupta
78970970,EE572,D,Dr. Avishek Adhikary
78970970,LA327,K2,Dr. Sruthi Vinayan
78970970,LA365,K3,Dr. Anindita Ghosh
78970970,MT251,B,Prof. Santosh Biswas
78970970,TP605,E,Dr. Suchetan Pal
78970980,CS516,C,Dr. Vishwesh Jatala
78970980,EE572,D,Dr. Avishek Adhikary
78970980,LA327,K2,Dr. Sruthi Vinayan
78970980,MT251,B,Prof. Santosh Biswas
78970980,TP605,E,Dr. Suchetan Pal
78970980,TP624,J23,Dr. Rajkumar Eslavath
78970990,CS554,M,Dr. Souradyuti Paul
78970990,LA315,K1,Ms. Hao Yu Lu
78970990,ME232,A,Dr. Ganesh Kolappan Geetha
78970990,ME557,E,Dr. Kaushik Bandhopadhyay
78970990,ME560,B,Dr. Rahul Jain
78970990,MT253,F,Dr. Jose Immanuel R
78970990,TP624,J23,Dr. Rajkumar Eslavath
78971000,CS254,A23,Dr. Souradyuti Paul
78971000,EE572,D,Dr. Avishek Adhikary
78971000,TP605,E,Dr. Suchetan Pal
78971000,TP624,J23,Dr. Rajkumar Eslavath
78971010,CS502,A,Dr. I. Vinod Kumar Reddy
78971010,CS516,C,Dr. Vishwesh Jatala
78971010,CS620,L,Dr. Anand M. Baswade
78971010,EE499,NA,DUGC_EE
78971010,LA327,K2,Dr. Sruthi Vinayan
78971010,MA611,D,Dr. Kuldeep Kumar Kataria
78971010,TP624,J23,Dr. Rajkumar Eslavath
78971020,CS254,A23,Dr. Souradyuti Paul
78971020,CS516,C,Dr. Vishwesh Jatala
78971020,EE572,D,Dr. Avishek Adhikary
78971020,EE575,F,Dr.Shashank Kurm/Dr. Sachin Jain
78971020,LA354,K3,Dr. Sonal Jha
78971020,TP605,E,Dr. Suchetan Pal
78971020,TP624,J23,Dr. Rajkumar Eslavath
78971030,CS516,C,Dr. Vishwesh Jatala
78971030,CS552,E,Dr. Rishi Ranjan Singh
78971030,CS559,A,Dr. Gaganraj Gupta
78971030,CS607,D,Dr. Sk Subidh Ali
78971030,DS100,NA,Dr. Sk Subidh Ali
78971030,LA365,K3,Dr. Anindita Ghosh
78971030,TP624,J23,Dr. Rajkumar Eslavath
78971040,AA102,NA,Dr. Purnendu Das
78971040,CS254,A23,Dr. Souradyuti Paul
78971040,IC104,"C, H2 ",Dr. Pawan Kumar Mishra
78971040,IC152,"C, H2 ",Dr. Pawan Kumar Mishra
